Sarah Mead, Football: United States
Yuki Hayashi, Swimming: Japan
Chloe Byers, Gymnastics: United Kingdom
Pheobe Shaw, Hockey: United Kingdom
Misako Sato, Gymnastics: Japan
Alexander Beck, Football: Germany 
Zahra Sayed, Cricket: Pakistan
Alex Ebner, Football: Germany
Jordan Trezza, Cricket: Australia
Alejandro Solis, Football: Columbia
Patricia Molina, Football: Mexico
Nate Gordon, Swimming: Australia
Takumi Fujiwara, Basketball: Japan
Adele Dressler, Badminton: Germany 
Silvia Vasquez, Basketball: Brazil
Lulu Martin, Tennis: Mexico
Toshi Ogawa, Badminton: Japan
Harjit Singh, Basketball: Canada 

